rowid,Compartment,Feature,Channel,Suffix,Feature significance,Perturbation,Corrected p-value,Phenotypic activity,Perturbation example image,Median,Gene Rank,Feature Rank,JCP2022,Resources,Synonyms
20721,Cytoplasm,RadialDistributionRadialCV,,_mito_tubeness_2of20,0,TAPBP,0.07508,0.53498,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-01/P09_0.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-01/P09_0.jpg"", ""width"": 200}",-10.862,999999,0,JCP2022_806954,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/6892"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/601962"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAPBP"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000231925"", ""label"": ""Ensembl""}]",MHC1D3|NGS17|TAPA|TPN|TPSN
3916,Cytoplasm,RadialDistributionRadialCV,,_mito_tubeness_2of20,0,IKBKAP,0.00018,0.66532,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-14/P09_4.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-14/P09_4.jpg"", ""width"": 200}",-27.942,999999,0,JCP2022_803351,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/8518"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKAP"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g="", ""label"": ""Ensembl""}]",DYS|FD|IKAP|IKBKAP|IKI3|TOT1
8848,Cytoplasm,Texture_SumVariance,DNA,_10_02_256,0,BMX,0.00092,0.56032,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-14/F17_0.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-14/F17_0.jpg"", ""width"": 200}",-10.119,999999,0,JCP2022_800906,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/660"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/300101"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMX"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000102010"", ""label"": ""Ensembl""}]",ETK|PSCTK2|PSCTK3
33524,Nuclei,Correlation_Overlap_DNA,ER,,0,RAB3D,0.53066,0.24162,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-04/D18_7.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-04/D18_7.jpg"", ""width"": 200}",-11.166,2,0,JCP2022_805772,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/9545"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/604350"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3D"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000105514"", ""label"": ""Ensembl""}]",D2-2|GOV|RAB16|RAD3D
27787,Cytoplasm,RadialDistributionRadialCV,,_mito_tubeness_2of20,0,ADAMTS19,0.00018,0.88524,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-18/H05_1.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-18/H05_1.jpg"", ""width"": 200}",-22.135,999999,0,JCP2022_800195,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/171019"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/607513"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS19"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000145808"", ""label"": ""Ensembl""}]",CVDP2
25269,Cytoplasm,RadialDistributionFracAtD,,_mito_tubeness_2of16,0,POLR2G,0.00018,1,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-01/G08_4.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-01/G08_4.jpg"", ""width"": 200}",-5.337,999999,0,JCP2022_805348,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/5436"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/602013"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2G"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000168002"", ""label"": ""Ensembl""}]",RPB19|RPB7|hRPB19|hsRPB7
15327,Cytoplasm,RadialDistributionRadialCV,,_mito_tubeness_2of20,0,KYAT3,0.09614,0.45374,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-09/G15_1.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-09/G15_1.jpg"", ""width"": 200}",-27.036,999999,0,JCP2022_803761,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/56267"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/610656"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=KYAT3"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000137944"", ""label"": ""Ensembl""}]",CCBL2|KAT3|KATIII
36329,Nuclei,ObjectSkeletonTotalObjectSkeletonLength,,_mito_skel,0,MGST3,0.31768,0.30986,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-09/M06_6.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-09/M06_6.jpg"", ""width"": 200}",-6.424,999999,0,JCP2022_804171,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/4259"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/604564"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGST3"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000143198"", ""label"": ""Ensembl""}]",GST-3|GST-III
36596,Cytoplasm,Texture_SumVariance,DNA,_10_00_256,0,SORD,0.34422,0.28153,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-05/H12_1.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-05/H12_1.jpg"", ""width"": 200}",-5.37,999999,0,JCP2022_806689,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/6652"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/182500"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORD"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000140263"", ""label"": ""Ensembl""}]",HEL-S-95n|HMNR8|RDH|SDH|SORD1|SORDD|XDH
11870,Cytoplasm,RadialDistributionRadialCV,,_mito_tubeness_2of20,0,DPP7,0.70442,0.21448,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-26/H07_6.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-26/H07_6.jpg"", ""width"": 200}",-19.947,999999,0,JCP2022_801902,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/29952"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/610537"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP7"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000176978"", ""label"": ""Ensembl""}]",DPP2|DPPII|QPP
